Field 1,Field 0,Field 1 2,Ingredient (as per 100 g),Synonyms,Fruit/Veg,Red/Processed Meat,Not food/drink,No Data Available,Energy (Kj),Energy (Kcal),Carbohydrate (g),Of which sugars (g),Fibre (g),Protein (g),Total fat (g),Of which saturates (g),Monounsaturated fat (g),Polyunsaturated fat (g),Omega 3 (g),Omega 6 (g),Trans-fats (g),Salt (g),Alcohol (g),Calcium (mg),Chloride (mg),Phosphorus (mg),Sodium (mg),Potassium (mg),Magnesium (mg),Iron (mg),Selenium (ug),Iodine (ug),Vitamin A (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K1,Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Pyridoxine (B6) (mg),Biotin (B7) (ug),Folates (B9) (ug),Vitamin B12 (ug),Vitamin C (mg),Nutritics ID,Comments,Source URL,Source URL 2,Source URL 3,Source URL 4,Source URL 5
0,9,11,coffee liqueur,"Kahlua, liqueur, cordial",,,,,"1130
","270
",40.1,40.1,,0,0,0,0,0,0,0,0,0,15.8,,,,,,,,,,,,,,,,,,,,,,,,,https://www.kahlua.com/en-us/products/original-coffee-liqueur/,,,,
1,10,12,coffee beans,"coffee, java, seed, coffee berry, coffee tree",,,,,"12
",2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,,,,,,3080988,,,,,,
2,16,22,juice,"carrot juice, papaya juice, pan gravy, lemon juice, V",,,x,,,,,,,,,,,,,,,0.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,45,sichuan pepper,"szechuan pepper
",,,,,"1331
",318,56.6,10.5,27.2,12,17.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://one.erudus.com/search/products/0858278fe8dd4866b8274d1fec7a1b16,,,,
4,34,46,aleppo pepper,,,,,,,310,"55.5
",10,26.6,11.7,17.2,3.3,2.8,8.3,,,,,0,"111
",,,29.4,1998,,"6.3
",,,"5827
",,,,,,,,,,,,"91.6
",,,nutritionix.com/food/aleppo-pepper,,,,
5,41,55,blood orange,,checked,,,,188,45,9.7,9.1,1.9,0.65,0.42,0,,,,,0,0,0,26,,,0,169,,0.19,,,,0,,,,,,,,,,,,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1992353/nutrients,,,,
6,45,59,orange liqueur,"Grand Marnier, cordial, triple sec, curacoa, liqueur, curacao",,,,,1552,371,41.6,41.6,0,0,0.3,0.01,0.05,0.17,0,0,0,0,29.8,0,,0,5,0,0,0.07,0.4,,0,0,0,0,0,0,0.003,,0,,0,0,0,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1104402/nutrients,,,,
7,52,68,coriander cress,,checked,,,,"97
",23,1.2,0.9,2.8,2.1,0.5,0,,,,,"0
",0.12,0,67,,48,46,521,26,1.8,,,675,0,2.5,310,0.07,0.12,1.5,0.57,0.15,,62,0,27,63505,,,,,,
8,262,304,sloe gin,"gin, sloe",,,,,1552,371,41.6,41.6,0,0,0.3,0.01,0.05,0.17,0,0,0,0,29.8,0,,0,5,0,0,0.07,0.4,,0,0,0,0,0,0,0.003,,0,,0,0,0,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1104402/nutrients,,,,
9,353,402,semisweet chocolate,,,,,,2010,480,63.9,54.5,5.9,4.2,30,17.8,9.97,0.966,0,0.966,,,0,32,,132,11,365,115,3.13,4.2,,0,0,0,5.6,0.055,0.09,0.427,0.105,0.035,,13,0,0,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167976/nutrients,,,,
10,355,404,fruit brandy,,,,,,1104,"264
",20.9,20.9,0,0,0,0,0,0,0,0,0,,,0,,,1,2,,0,,,0,,,,,,,,,,,,,,,https://www.nutritionix.com/i/nutritionix/apricot-brandy-1.5-fl-oz/57151b9f68b9cb1811b34869,,,,
11,374,425,field mushroom,"Agaricus campestris, meadow mushroom, agaric, Agaricus, genus Agaricus",checked,,,,88,21,3,0.5,0.7,2.5,0,0.04,0,0.11,,,0,0,0,3,125,94,4,378,10,0.21,17,2,0,0,0.01,0.28,0.13,0.27,3,2.4,0.1,11.7,40,0,1,64395,,,,,,
12,393,444,stew,"resent, grudge",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,402,455,pink fir apple,potato,checked,,,,283,68,13,0.5,2.1,2.4,0,0,0,0,0,0,0,0.02,0,,12.1,,8,,,,,,,,,,,,,,,,0,,,4315855,,,,,,
14,409,464,goat,he,,,,,599,143,0,0,0,27.1,3.03,0.93,1.36,0.23,0,,,,0,17,,201,86,405,0,3.73,11.8,,0,0,0.34,1.2,0.09,0.61,3.95,,0,,5,1.19,0,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/175304/nutrients,,,,
15,423,479,cereal,"wheat berry, food grain, barley, malt, wheat, millet, groats, edible corn, Indian rice, grain, buckwheat, rice, grist, food product, corn, barleycorn, foodstuff, oat, wild rice",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,448,507,chopped celery,,checked,,,,55,13,2.4,0.9,1.1,0.5,0,0,0,0.1,,,0,0.15,0,41,130,21,60,320,5,0.4,3,,8,0,0.2,4.9,0.06,0.01,0.4,0.4,0.03,0.1,16,0,8,63239,,,,,,
17,449,508,hamburger,"beefburger, ground beef, boeuf, beef, burger",,checked,,,1197,288,1.1,0.9,0.5,25,20,8.5,8.7,0.75,,,0.96,0.29,0,21,119,215,114,346,23,1.9,11,17,15,1.2,0.36,0,0.08,0.18,10.3,0.59,0.37,3.5,20,2.2,0,63133,"Grilled, homemade, beef",,,,,
18,451,511,red peppers,"Capsicum frutescens, tabasco, hot pepper, tabasco pepper, Tabasco sauce, Tabasco, tabasco plant",checked,,,,112,27,4.3,4.2,2.2,0.8,0,0.05,0,0.1,,,0,0,0,7,48,23,1,216,11,0.39,0,3,97,0,0.95,1.6,0.07,0.06,0.6,0.27,0.23,3.3,75,0,126,64633,,,,,,
19,452,512,pie crust,"pie shell, pastry, shortcrust pastry",,,,,2298,552,43,1,4.1,7.6,38,14.1,16,5.8,1.3,4.6,0.03,0.68,0,97,399,61,271,118,12,1.2,4,0,0,0,3.9,,0.1,0.01,2.3,0.47,0.05,2.3,8,0,0,64575,"Cooked, retail",,,,,
20,453,513,sweetened condensed milk,,,,,,1148,270,57,57,,9.8,0,0.1,0.1,0,,,0,0.38,0,330,300,270,150,450,33,0.33,3,89,31,0.9,0.04,,0.11,0.51,2.6,1,0.09,5.2,16,0.9,5,65765,Skimmed,,,,,
21,454,514,heavy whipping cream,"cream, double creme",,,,,1568,381,2.6,2.6,0,1.9,40,25.2,11.7,1.1,,,,0.06,"0
",58,59,59,25,86,6,0,,,440,0.3,1.3,,0.02,0.17,0.5,0.22,0.04,1.4,7,0.2,1,63546,,,,,,
22,455,515,rolled oats,,,,,,1654,392,64,0.5,7.8,12,8.1,1.3,3.1,3.2,0.09,3,0.01,0,0,50,87,387,1,372,114,3.6,3,0,0,0,0.59,0,1.1,0.05,3.5,0.75,0.34,19,32,0,0,64857,,,,,,
23,456,516,chopped cilantro,"corriander, coriander",checked,,,,"97
",23,1.2,0.9,2.8,2.1,0.5,,,,,,0,0.12,0,67,,48,46,521,26,1.8,,,675,0,2.5,310,0.07,0.12,1.5,0.57,0.15,,62,0,27,63505,,,,,,
24,457,517,skim milk,"milk, skimmed milk",,,,,148,35,4.6,4.6,0,3.4,0.5,0.13,0.06,0,0,0,0,0.11,0,125,87,96,44,162,11,0.03,1,30,1,0,0,0.02,0.03,0.22,0.8,0.5,0.06,2.5,9,0.8,1,64332,,,,,,
25,458,519,red bell peppers,,checked,,,,112,27,4.3,4.2,2.2,0.8,0,0.05,0,0.1,,,0,0,0,7,48,23,1,216,11,0.39,0,3,97,0,0.95,1.6,0.07,0.06,0.6,0.27,0.23,3.3,75,0,126,64633,,,,,,
26,459,520,active dry yeast,,,,,,781,184,3.2,0,0,40,1.5,,,,,,,0.13,0,80,,"1290
",50,2000,230,20,,,0,0,0,,2.3,4,15.5,11,2,200,4000,0,0,65549,,,,,,
27,464,526,limes,"spread, scatter, birdlime, spread out",checked,,,,165,38,1.6,1.6,0,0.5,0,0,0,0.1,,,,0,0,9,3,7,1,110,6,0,,,1,0,,0,0.02,0.01,0.1,0.14,0.04,,,0,38,64216,,,,,,
28,465,527,salad dressing,"Thousand Island dressing, sauce Louis, mayonnaise, sauce, Russian mayonnaise, blue cheese dressing, Russian dressing, salad cream, anchovy dressing, Italian dressing, Roquefort dressing, sauce vinaigrette, Lorenzo dressing, half",,,,,1088,262,18,3.9,0.5,0.5,21,2.5,4.9,13.4,0,0,,2.9,0,0,0,0,1150,0,0,0,0,0,0,20.5,0,,0,0,0,0,0,0,0,0,0,3756,,,,,,
29,467,529,dried tomato,sun dried tomato,checked,,,,1271,300,44,40,12,6,3,0.43,0.49,1.1,0,0,0,0.27,0,110,468,356,107,3427,194,9.1,5.5,17,44,0,0.01,43,0.53,0.49,9.4,2.1,0.33,12.8,68,0,39.2,13425,,,,,,
30,468,530,frozen peas,,checked,,,,329,78,10,5.4,5.3,5.3,0.7,0.13,0.07,0.36,0.06,0.31,0,0,0,36,59,86,4,171,26,1.8,0,2,44,0,0.11,,0.6,0.08,3.1,0.11,0.12,0.5,50,0,22,64617,,,,,,
31,470,532,sliced mushrooms,,checked,,,,124,29,4.3,1.7,0.6,2.5,0,0.01,0,0.04,,,0,0.02,0,18,,120,6,448,9,0.4,26,,0,0.1,0.01,0,0.1,0.49,,1.5,0.11,,25,0.1,0,934101,,,,,,
32,472,534,red potato,,,,,,385,91,20,0.9,2,1.9,0.5,0,,,,,,0,0,,0,,0,443,,,,,,,,,,,,,,,0,,,2642742,,,,,,
33,473,535,sweet onion,,checked,,,,133,32,7.55,5.02,0.9,0.8,0.08,,,,,,0,0.1,0,20,,27,8,119,9,0.26,0.5,,1,0,0.02,0.3,0.041,0.02,0.133,0.098,0.13,,23,,4.8,,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170008/nutrients,,,,
34,475,537,chopped garlic,,checked,,,,135,32,,,,7.9,,,0,0.3,,,0,0,0,19,0,170,4,620,25,1.9,2,3,0,0,0.01,,0.13,0.03,2.2,,0.38,,5,0,17,63866,,,,,,
35,478,540,apple cider vinegar,,,,,,93,22,0.9,0.5,0,0,0,0,0,0,,,,0.01,0,7,,8,5,73,5,0.2,0.1,,0,0,0,0,0,0,0,0,0,,0,0,0,7391,,,,,,
36,480,543,sprouts,"grow, shoot, germinate, burgeon forth, bourgeon, spud, pullulate",checked,,,,177,42,3.6,3,2.6,2.9,1.3,0.3,0.1,0.7,0.05,0.01,0,0,0,20,16,61,2,310,13,0.5,,1,53,0,0.9,127,0.07,0.09,0.5,0.28,0.19,0.3,110,0,60,63120,,,,,,
37,481,544,cilantro leaves,"coriander, corriander leaves",checked,,,,97,23,1.2,0.9,2.8,2.1,0.5,0,,,,,0,0.12,0,67,,48,46,521,26,1.8,,,675,0,2.5,310,0.07,0.12,1.5,0.57,0.15,,62,0,27,63505,,,,,,
38,483,546,cumin seed,"Cuminum cyminum, kummel, edible seed, cumin",,,,,1691,406,28,5.6,11,18,22,1.5,14,3.3,,,0,0.42,0,931,,499,168,1790,366,66,5.2,,127,0,3.3,5.4,0.63,0.33,,,0.44,,10,0,8,63566,,,,,,
39,486,549,whipped cream,topping,,,,,1568,381,2.6,2.6,0,1.9,40,25.2,11.7,1.1,,,,0.06,0,58,59,59,25,86,6,0,,,440,0.3,1.3,,0.02,0.17,0.5,0.22,0.04,1.4,7,0.2,1,63546,,,,,,
40,487,550,grated orange,,checked,,,,394,94,14,,11,1.5,0,0.02,0.04,0.04,,,,0,0,161,,21,3,212,22,0.8,1,,21,,0.25,,0.12,0.09,0.9,0.49,0.18,,30,0,136,8627,,,,,,
41,488,551,unsweetened cocoa powder,,,,,,1831,441,23,0.5,31,22,22,13.2,8.2,0.6,0,0,0,0.08,0,130,320,660,30,1500,520,10.5,0,0,7,0,0.68,1.5,0.16,0.06,5.6,0,0.07,0,38,0,0,24913,,,,,,
42,489,552,salt cod,"codfish, cod",,,,,586,138,0,0,0,33,0.9,0.2,0.1,0.4,,,0,1,0,22,670,160,400,31,35,0.4,52,,2,0,,0,0,0,,,,0,0,,0,63451,,,,,,
43,490,553,celery ribs,,checked,,,,55,13,2.4,0.9,1.1,0.5,0,0,0,0.1,,,0,0.15,0,41,130,21,60,320,5,0.4,3,,8,0,0.2,4.9,0.06,0.01,0.4,0.4,0.03,0.1,16,0,8,63239,,,,,,
44,494,557,fresh basil leaves,,checked,,,,169,40,5.1,0,0,3.1,0.8,0,,,,,0,0.02,0,250,,37,9,300,11,5.5,,,660,0,,0,0.08,0.31,,,,,,0,26,62775,,,,,,
45,497,560,hot pepper sauce,,,,,,110,26,1.6,0.9,0,1.6,1.5,0,,,,,,3.8,0,25,1780,32,1520,220,26,2.4,,,,0,,0,,,,,,,,0,0,65729,,,,,,
46,498,561,light corn syrup,,,,,,1292,304,76,76,0,0,0,0,"0
",0,,,,0,0,0,,,2,,0,0,0.7,,0,0,0,0,0,0.02,0,0.01,0,,0,0,0,6240,,,,,,
47,499,562,ground turkey,,,,,,548,130,0,0,0,24,4,1.2,1.7,0.93,0,0,0,0.12,0,3.9,121,223,48,349,26.1,0.29,9.7,5.8,0,0.44,0.09,0,0.06,0.15,14.5,0.64,0.78,0.97,8.7,0.97,0,142035,"4% fat, raw",,,,,
48,500,563,black peppercorns,,,,,,1193,285,41,0.6,25,10,3.3,1.4,0.74,1,0.12,0.68,0,0.05,0,443,30,158,20,1329,171,9.7,5,,55,0,,164,0.11,0.18,,1.4,0.29,,17,0,0,64631,,,,,,
49,501,564,large egg yolks,,,,,,1436,347,0,0,0,16,31,8.8,12,5,0.45,4.5,0.05,0.13,0,149,163,600,52,124,12,6.2,59,130,447,12.8,5.2,0,0.2,0.59,2.8,4.5,0.35,64,122,8.2,0,63757,,,,,,
50,503,566,thai basil,,,,,,135,32,2.7,,,3.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sainsburys.co.uk/gol-ui/product/fruit-vegetables-special-offers/sainsburys-thai-basil-20g,,,,
51,504,567,cookies,"ladyfinger, raisin cookie, ginger snap, chocolate chip cookie, biscuit, oreo cookie, dog biscuit, kiss, granola bar, fruit bar, snap, almond cookie, spice cookie, gingerbread man, ginger nut, anise cookie, Toll House cookie, gingersnap, oatmeal cookie, raisin",,,,,1995,477,56,29,3,5.9,25,12.2,9,2.5,0.12,2.4,0.03,0.75,0,117,198,132,298,217,34,2.3,4,6,0,0,2.2,0,0.13,0.08,2,0.49,0.03,5.1,36,0,0,62986,,,,,,
52,506,569,gingerroot,"flavouring, flavorer, ginger ale, common ginger, Canton ginger, Zingiber officinale, powdered ginger, ginger pop, flavourer, seasoner, ginger, flavoring, seasoning, stem ginger",,,,,223,53,8,2,2,2,0.8,0.2,0.15,0.15,,,0,0.03,0,16,,34,13,415,43,0.6,,,0,0,0.26,0.1,0.02,0.03,1,0.2,0.16,,11,0,5,63877,,,,,,
53,508,571,grated nutmeg,,,,,,2060,498,26,3,21,6.9,36,26,3.2,0.3,,0.35,0,0.04,0,180,,210,16,350,180,3,2,,10,0,,0,0.35,0.06,,,0.16,,76,0,3,64431,,,,,,
54,509,572,romaine lettuce,"cos lettuce, lettuce, cos, romaine",checked,,,,60,14,1.4,1.4,1.5,1.2,0,0.03,0,0.08,,,0,0.02,0,24,78,22,9,222,9,0.13,0,1,10,0,0.64,129,0.14,0.05,0.7,0.19,0.02,0.7,60,0,1,64213,,,,,,
55,510,573,vanilla ice cream,"ice cream, icecream",,,,,"720
",172,21,21,0,3.2,8.2,5.2,2.1,0.32,0.08,0.24,0.18,0.16,0,104,110,85,63,163,13,0.06,1,30,99,0.5,0.49,0,0.1,0.28,1,1.1,0.04,2.2,6,0.5,1,63999,,,,,,
